level_0,index,ds,BNB_USDT_1h_open,BNB_USDT_1h_high,BNB_USDT_1h_low,BNB_USDT_1h_close,BNB_USDT_1h_volume,BTC_USDT_1h_open,BTC_USDT_1h_high,BTC_USDT_1h_low,BTC_USDT_1h_close,BTC_USDT_1h_volume,DOGE_USDT_1h_open,DOGE_USDT_1h_high,DOGE_USDT_1h_low,DOGE_USDT_1h_close,DOGE_USDT_1h_volume,ETH_USDT_1h_open,ETH_USDT_1h_high,ETH_USDT_1h_low,ETH_USDT_1h_close,ETH_USDT_1h_volume,SOL_USDT_1h_open,SOL_USDT_1h_high,SOL_USDT_1h_low,SOL_USDT_1h_close,SOL_USDT_1h_volume,XRP_USDT_1h_open,XRP_USDT_1h_high,XRP_USDT_1h_low,XRP_USDT_1h_close,XRP_USDT_1h_volume
21,21,2023-04-30,321.8079,338.0122,320.598,337.2646,7953.33968,29227.24,29968.49,29095.46,29233.2,4428.168909,0.08156,0.08176,0.07926,0.07948,39870446.4,1907.86,1939.39,1866.15,1870.22,45783.0692,23.19,23.99,22.69,22.73,327595.328,0.4779,0.4819,0.4687,0.4704,19107081.36
22,22,2023-05-01,337.2646,339.2853,326.1814,328.4383,7057.01655,29233.2,29331.49,27663.93,28071.98,7958.1908,0.07948,0.08002,0.07734,0.07882,65344820.1,1870.22,1886.15,1806.59,1831.0,72063.15765,22.73,22.88,21.56,21.96,535592.164,0.4704,0.4725,0.4545,0.4649,37584018.77
23,23,2023-05-02,328.4383,328.4383,321.4426,321.4426,4765.71539,28071.98,28886.28,27876.74,28664.0,5722.630429,0.07882,0.07908,0.07754,0.07876,49933793.7,1831.0,1881.8,1822.87,1869.97,58241.80056,21.96,22.37,21.75,22.25,317501.354,0.4649,0.4662,0.4576,0.4644,38028127.0
24,24,2023-05-03,321.4426,327.4988,320.7585,325.9007,9088.39612,28664.0,29261.48,28111.93,29026.18,8008.970002,0.07876,0.08073,0.0771,0.0796,68856577.3,1869.97,1916.29,1843.01,1905.05,88063.67641,22.25,22.3,21.24,22.24,596264.3099999999,0.4644,0.4653,0.4498,0.4631,63211173.18
25,25,2023-05-04,325.9007,327.5,323.3128,323.8485,3431.55741,29026.18,29379.11,28666.65,28831.85,5570.07762,0.0796,0.07973,0.07796,0.07839,50964208.0,1905.05,1918.5,1866.94,1876.95,60056.90772,22.24,22.48,21.62,21.73,401137.352,0.4631,0.4649,0.4549,0.4608,43007211.839999996
26,26,2023-05-05,323.8485,329.279,322.9695,326.6287,4960.57414,28831.85,29679.09,28795.41,29506.94,6847.421142,0.07839,0.08148,0.07704,0.08019,57834008.7,1876.95,2000.0,1875.85,1993.4,85612.56604,21.73,23.07,21.57,22.82,615166.07,0.4608,0.4706,0.4541,0.4669,55271508.61
27,27,2023-05-06,326.6287,328.2654,319.3171,322.0034,5011.82854,29506.94,29827.37,28356.0,28846.07,6017.979226,0.08019,0.08051,0.07575,0.07672,60933649.9,1993.4,2018.0,1860.0,1896.57,87013.1046,22.82,23.23,21.56,21.91,527778.884,0.4669,0.4692,0.4514,0.4583,34071809.84
28,28,2023-05-07,322.0034,325.4079,320.5879,320.9561,2906.44057,28846.07,29138.0,28390.77,28434.04,4414.93089,0.07672,0.07748,0.07619,0.07652,33797740.6,1896.57,1933.39,1867.27,1870.63,64537.81863,21.91,22.77,21.65,21.65,386567.499,0.4583,0.46,0.4458,0.4488,26009693.65
29,29,2023-05-08,320.9561,322.0727,311.125,313.6745,8578.14766,28434.04,28695.28,27269.53,27668.48,9280.253573,0.07652,0.07708,0.06976,0.07239,124282220.1,1870.63,1883.99,1810.44,1847.43,109109.52896,21.65,21.81,19.89,20.63,1049719.611,0.4488,0.4512,0.4087,0.4281,90376550.21
30,30,2023-05-09,313.6745,315.7064,311.1562,312.1465,3996.6054,27668.48,27815.89,27351.49,27631.21,4995.956625,0.07239,0.07329,0.07208,0.07309,72702868.3,1847.43,1861.8,1830.8,1846.6,61482.32007,20.63,21.0,20.42,20.66,475155.848,0.4281,0.4305,0.4204,0.4287,53665238.68
31,31,2023-05-10,312.1465,316.666,308.0,314.2649,4440.12634,27631.21,28319.18,26765.0,27594.7,9882.756023,0.07309,0.07467,0.07026,0.07314,101109989.2,1846.6,1887.25,1788.0,1841.06,83019.68026,20.66,21.35,19.82,20.93,1011175.25,0.4287,0.4339,0.4113,0.4302,83749390.47
32,32,2023-05-11,314.2649,314.4143,304.5792,307.5157,3814.36982,27594.7,27626.29,26700.0,26971.09,7450.5058229999995,0.07314,0.07316,0.06913,0.07195,80070088.0,1841.06,1841.99,1771.8,1794.46,83079.83937,20.93,20.93,19.71,20.18,709044.083,0.4302,0.4303,0.4115,0.4207,53148792.94
33,33,2023-05-12,307.5157,309.1095,301.1882,308.582,3672.29741,26971.09,27087.99,25811.56,26791.53,8996.018382,0.07195,0.07272,0.06936,0.07235,104676575.8,1794.46,1816.27,1739.0,1807.36,104380.40508,20.18,20.94,19.8,20.91,696954.8150000001,0.4207,0.4442,0.4155,0.4304,73660476.67
34,34,2023-05-13,308.582,311.8285,307.5118,310.921,1744.24728,26791.53,27042.18,26690.32,26770.21,3629.5529420000003,0.07235,0.0724,0.07132,0.07167,25401144.5,1807.36,1816.4,1785.0,1795.1,46339.51592,20.91,21.29,20.78,20.84,379453.149,0.4304,0.4304,0.4227,0.4242,22226744.2
35,35,2023-05-14,310.921,314.7952,309.6182,312.0272,2097.6657,26770.21,27199.0,26576.08,26915.95,3074.98561,0.07167,0.07266,0.07107,0.07196,28772717.2,1795.1,1823.6,1790.4,1799.13,42304.2283,20.84,21.28,20.63,20.94,259962.13,0.4242,0.4317,0.4209,0.4253,16117000.25
36,36,2023-05-15,312.0272,316.2825,310.5589,313.4794,3100.2516299999997,26915.95,27656.91,26734.01,27158.95,6216.462988,0.07196,0.07365,0.07087,0.07194,75914662.5,1799.13,1846.86,1784.43,1816.16,82094.70271,20.94,21.52,20.59,20.98,512662.857,0.4253,0.4302,0.4212,0.4271,32157649.439999998
37,37,2023-05-16,313.4794,313.9653,309.3046,311.7276,2935.04166,27158.95,27295.58,26850.01,27029.06,4060.450823,0.07194,0.07322,0.07089,0.07274,76889493.6,1816.16,1832.59,1796.53,1824.01,72272.01508,20.98,21.13,20.45,20.67,503861.222,0.4271,0.4428,0.4182,0.4424,37926718.35
38,38,2023-05-17,311.7276,314.4558,306.9305,314.1758,2342.35695,27029.06,27512.5,26535.0,27400.82,5253.655175,0.07274,0.07545,0.07229,0.07482,103246801.3,1824.01,1837.34,1783.59,1822.15,77655.64955,20.67,21.21,20.43,21.05,370541.469,0.4424,0.4613,0.4373,0.4484,58380387.22
39,39,2023-05-18,314.1758,317.137,306.2485,309.336,3639.83687,27400.82,27480.0,26362.93,26821.21,6860.195939,0.07482,0.07492,0.07164,0.07345,76645315.9,1822.15,1831.85,1771.38,1800.5,60547.523199999996,21.05,21.09,20.09,20.33,424187.509,0.4484,0.4729,0.4428,0.4597,52986186.67
40,40,2023-05-19,309.336,311.3619,307.6662,308.8628,2671.73564,26821.21,27199.99,26632.01,26885.02,4080.414847,0.07345,0.07406,0.07301,0.07349,37802620.2,1800.5,1829.25,1797.13,1812.07,46112.82285,20.33,20.59,20.23,20.35,197042.176,0.4597,0.4755,0.4573,0.4675,41410988.67
41,41,2023-05-20,308.8628,312.0,307.8575,310.7001,1493.78937,26885.02,27148.72,26830.45,27105.97,1407.721392,0.07349,0.0739,0.07308,0.0736,16387110.3,1812.07,1828.55,1807.03,1819.25,15646.32515,20.35,20.36,20.09,20.27,143492.498,0.4675,0.4722,0.4619,0.4686,20633081.26
42,42,2023-05-21,310.7001,311.6699,305.8535,306.4151,1694.21157,27105.97,27279.77,26663.53,26746.01,2705.825157,0.0736,0.074,0.07196,0.07211,23576829.5,1819.25,1828.86,1797.59,1804.98,21062.7912,20.27,20.39,19.35,19.62,289560.02,0.4686,0.4705,0.4551,0.4574,23134375.8
